KundenID,Kundenname,Strassenname,PLZ,Stadt,Land,Kundenart,Kontonummer,Saldo,Clearing
1,Roger Mueller,Riggenbachstrasse 12,4600,Olten,Switzerland,Privat,145564458,1156.14,206
2,FHNW,Riggenbachstrasse 16,4600,Olten,Switzerland,Firma,668669545,2.36,206
3,Aldo von Wangenheim,Rue de la Chanson 3a,1205,Genf,Switzerland,Privat,556889125,500154,206
4,F. van Harmelen,Amstraat 12,1089HE,Amsterdam,The Netherlands,Privat,669447554,65875,206
5,M. M. Richter,Universití_tsgasse 2,67655,Kaiserslautern,Germany,Privat,665665454,13658.2,206
6,Otthein Herzog,Hinter dem Deich 2,18119,Warnemí_nde,Germany,Privat,998996996,5211.36,206
7,Encoway,Startupweg 1,28195,Bremen,Deutschland,Firma,665665253,100898,206
8,Dr. Oliver Bendel,Kastelgasse 31,8001,Zí_rich,Switzerland,Privat,654522136,1002.23,206
9,Stella Gatziu Grivas,Blocherweg 3,8704,Herrliberg-Feldmeilen,Switzerland,Privat,123232236,200.56,206
10,Knut HINKELMANN,Am Wald 3078,4616,Kappel,Schweiz,Private,899855612,1523.32,206
